GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
2024-04-13T16:54:18.426042+00:00,G21,15769323.975210901,1961697.8212380474,21843936.460219372,21696257.191233777,45.4
2024-04-13T16:54:18.426042+00:00,G27,23087213.36188883,13305080.556085562,-3099217.9577633003,22230618.453660443,42.7
2024-04-13T16:54:18.426042+00:00,G28,5163449.091943859,25837462.350435685,-3377988.740654394,23744505.61741779,42.1
2024-04-13T16:54:18.426042+00:00,G32,7753127.656165041,17826900.782260433,18397365.03781091,21305769.055728726,41.3
2024-04-13T16:54:19.426042+00:00,G02,14645572.73676734,-4807465.137611243,22096204.531165514,22736152.590180326,42.2
2024-04-13T16:54:19.426042+00:00,G03,23131159.29261049,-12042718.10002863,4528359.133193831,24075777.249959406,49.4
2024-04-13T16:54:19.426042+00:00,G08,25047218.07622848,4801969.430117989,8056335.921507638,21204302.53289145,40.5
2024-04-13T16:54:19.426042+00:00,G10,-1679917.4879899044,17365018.923483774,20134195.05270802,22850455.810007144,35.3
2024-04-13T16:54:19.426042+00:00,G21,15769765.720887633,1964315.8457660903,21843470.005388938,21695943.924447756,46.9
2024-04-13T16:54:19.426042+00:00,G27,23086792.844027355,13305142.00316912,-3102337.4960420066,22231187.155574936,41.9
2024-04-13T16:54:19.426042+00:00,G28,5163220.740786741,25837916.490171142,-3374850.0447042924,23744031.630070575,33.3
2024-04-13T16:54:19.426042+00:00,G32,7751000.496750067,17826052.62677016,18399083.25027321,21306058.345302083,38.9
2024-04-13T16:54:20.426042+00:00,G02,14646030.32050023,-4804813.591795669,22096511.33679975,22735682.518157557,37.3
2024-04-13T16:54:20.426042+00:00,G03,23130788.42628148,-12042205.424099216,4531524.266586258,24075301.179492462,49.8
2024-04-13T16:54:20.426042+00:00,G08,25048055.896422632,4802613.845746539,8053427.891629008,21204513.268673692,40.6
2024-04-13T16:54:20.426042+00:00,G10,-1682051.2777422853,17366353.0476513,20132821.39436189,22850848.508412026,41.4
2024-04-13T16:54:20.426042+00:00,G21,15770207.613394152,1966933.7765836418,21843003.108835697,21695630.936865225,42.9
2024-04-13T16:54:20.426042+00:00,G27,23086371.98119937,13305203.307618607,-3105456.9700380974,22231775.960140258,41.1
2024-04-13T16:54:20.426042+00:00,G32,7748873.093775411,17825204.505792774,18400801.080194905,21306351.857828133,40.1
2024-04-13T16:54:21.426042+00:00,G02,14646488.07036955,-4802162.040301282,22096817.69206009,22735205.570749,35.6
